Session,Title,Start Time,End Time,Start Time Number,End Time Number
2020-D01,Welcome to Dyalog '20,11/9/2020 14:00,11/9/2020 14:15,1915452000,1915452900
2020-D02,The Road Ahead,11/9/2020 14:15,11/9/2020 15:00,1915452900,1915455600
2020-break-1,break,11/9/2020 15:00,11/9/2020 15:15,1915455600,1915456500
2020-D03,Multi-line Input and Scripting,11/9/2020 15:15,11/9/2020 15:45,1915456500,1915458300
2020-D04,The .NET Core Bridge,11/9/2020 15:45,11/9/2020 16:15,1915458300,1915460100
2020-break-2,break,11/9/2020 16:15,11/9/2020 16:30,1915460100,1915461000
2020-D05,Time Travel Debugging and Statistical Distributions,11/9/2020 16:30,11/9/2020 16:55,1915461000,1915462500
2020-D06,Reworking Mastering Dyalog APL,11/9/2020 16:55,11/9/2020 17:15,1915462500,1915463700
2020-break-3,break,11/9/2020 17:15,11/9/2020 17:30,1915463700,1915464600
2020-D07,Rational Arithmetic,11/9/2020 17:30,11/9/2020 18:00,1915464600,1915466400
2020-break-4,break,11/9/2020 18:00,11/9/2020 18:10,1915466400,1915467000
2020-discussion-1,Open Discussion,11/9/2020 18:10,11/9/2020 19:00,1915467000,1915470000
2020-D08,Dyalog's Docker Containers,11/10/2020 14:00,11/10/2020 14:45,1918044000,1918046700
2020-D09,Array Notation RC1,11/10/2020 14:45,11/10/2020 15:15,1918046700,1918048500
2020-break-5,break,11/10/2020 15:15,11/10/2020 15:30,1918048500,1918049400
2020-U01a,How I Won the APL Problem Solving Competition - Introduction,11/10/2020 15:30,11/10/2020 15:40,1918049400,1918050000
2020-U01b,How I Won the APL Problem Solving Competition,11/10/2020 15:40,11/10/2020 16:15,1918050000,1918052100
2020-break-6,break,11/10/2020 16:15,11/10/2020 16:30,1918052100,1918053000
2020-U02,Building Applications using qWC (⎕WC) on the Web,11/10/2020 16:30,11/10/2020 17:00,1918053000,1918054800
2020-U03,Tracing Hanneke Vrome Numerically,11/10/2020 17:00,11/10/2020 17:30,1918054800,1918056600
2020-break-7,break,11/10/2020 17:30,11/10/2020 17:45,1918056600,1918057500
2020-D10,APL Online!,11/10/2020 17:45,11/10/2020 18:00,1918057500,1918058400
2020-closing,Closing session,11/10/2020 18:00,11/10/2020 18:05,1918058400,1918058700
2021-D01,Welcome to Dyalog '21,11/8/2021 14:00,11/8/2021 14:15,1944309600,1944310500
2021-D02,The Road Ahead,11/8/2021 14:15,11/8/2021 14:45,1944310500,1944312300
2021-D03,Scripting in Dyalog v18.2,11/8/2021 14:45,11/8/2021 15:15,1944312300,1944314100
2021-break-1,break,11/8/2021 15:15,11/8/2021 15:30,1944314100,1944315000
2021-U01,"Here's The Plan: Learn APL, and Write a Book About It",11/8/2021 15:30,11/8/2021 16:00,1944315000,1944316800
2021-U02,APL in the Driver's Seat,11/8/2021 16:00,11/8/2021 16:30,1944316800,1944318600
2021-break-2,break,11/8/2021 16:30,11/8/2021 16:45,1944318600,1944319500
2021-D04,Support for Statistical Distributions in Dyalog v18.2,11/8/2021 16:45,11/8/2021 17:05,1944319500,1944320700
2021-U03,Extending the Domain of the Probability Operator in TamStat,11/8/2021 17:05,11/8/2021 17:35,1944320700,1944322500
2021-break-3,break,11/8/2021 17:35,11/8/2021 17:45,1944322500,1944323100
2021-D05,⎕JSON Table Support,11/8/2021 17:45,11/8/2021 18:15,1944323100,1944324900
2021-D06,Highlights of Dyalog v18.2,11/8/2021 18:15,11/8/2021 18:45,1944324900,1944326700
2021-discussion,Open Discussion,11/8/2021 18:45,11/8/2021 18:50,1944326700,1944327000
2021-D07,Link v3.0,11/9/2021 14:00,11/9/2021 14:30,1946988000,1946989800
2021-D08,Dado (Dyalog APL Development Operations),11/9/2021 14:30,11/9/2021 15:00,1946989800,1946991600
2021-break-5,break,11/9/2021 15:00,11/9/2021 15:15,1946991600,1946992500
2021-U04a,The 2021 APL Problem Solving Competition - Introduction,11/9/2021 15:15,11/9/2021 15:25,1946992500,1946993100
2021-U04b,The 2021 APL Problem Solving Competition - Runner-Up's Presentation,11/9/2021 15:25,11/9/2021 16:00,1946993100,1946995200
2021-break-6,break,11/9/2021 16:00,11/9/2021 16:15,1946995200,1946996100
2021-D09,Python + APL = Py'n'APL,11/9/2021 16:15,11/9/2021 16:45,1946996100,1946997900
2021-D10,Packaging Dyalog Tools,11/9/2021 16:45,11/9/2021 17:15,1946997900,1946999700
2021-break-7,break,11/9/2021 17:15,11/9/2021 17:30,1946999700,1947000600
2021-D11,APL Media Update 2021,11/9/2021 17:30,11/9/2021 18:00,1947000600,1947002400
2021-U05,The Array Cast (live podcast recording),11/9/2021 18:00,11/9/2021 18:45,1947002400,1947005100
2021-closing,Closing session and open discussion,11/9/2021 18:45,11/9/2021 18:50,1947005100,1947005400
